iter	Passed	Remaining
0	1	191
1	4	204
2	6	212
3	8	210
4	10	203
5	13	203
6	14	189
7	16	189
8	18	188
9	19	179
10	21	173
11	23	170
12	25	170
13	28	172
14	30	172
15	32	170
16	34	169
17	36	168
18	39	167
19	41	166
20	44	166
21	46	165
22	48	163
23	51	162
24	53	160
25	55	158
26	57	156
27	61	159
28	65	160
29	67	158
30	70	155
31	72	154
32	76	155
33	79	154
34	83	155
35	86	153
36	89	151
37	91	149
38	94	148
39	98	147
40	101	146
41	104	143
42	106	141
43	110	141
44	114	139
45	116	136
46	118	133
47	120	130
48	122	127
49	124	124
50	126	121
51	128	118
52	130	115
53	132	112
54	133	109
55	135	106
56	137	104
57	140	101
58	142	99
59	144	96
60	146	93
61	148	91
62	150	88
63	152	85
64	154	83
65	156	80
66	158	78
67	160	75
68	162	73
69	164	70
70	166	68
71	168	65
72	170	63
73	173	60
74	174	58
75	176	55
76	178	53
77	180	50
78	182	48
79	184	46
80	186	43
81	188	41
82	190	38
83	192	36
84	194	34
85	196	31
86	197	29
87	199	27
88	201	24
89	203	22
90	205	20
91	207	18
92	209	15
93	211	13
94	213	11
95	215	8
96	216	6
97	218	4
98	220	2
99	222	0
