iter	Passed	Remaining
0	5	4003
1	9	3706
2	13	3614
3	18	3610
4	22	3560
5	26	3549
6	31	3538
7	35	3506
8	39	3499
9	44	3479
10	48	3462
11	52	3454
12	57	3461
13	61	3445
14	65	3435
15	69	3423
16	74	3416
17	78	3410
18	82	3402
19	86	3390
20	93	3449
21	99	3507
22	103	3502
23	170	5519
24	175	5445
25	180	5376
26	185	5304
27	191	5268
28	198	5274
29	205	5279
30	210	5233
31	215	5180
32	220	5118
33	224	5059
34	228	5003
35	233	4953
36	237	4904
37	242	4866
38	246	4818
39	251	4772
40	255	4730
41	259	4689
42	264	4649
43	268	4611
44	272	4576
45	276	4540
46	281	4504
47	285	4471
48	291	4462
49	295	4433
50	299	4404
51	304	4377
52	308	4348
53	312	4322
54	318	4310
55	322	4287
56	327	4263
57	331	4240
58	335	4216
59	339	4192
60	344	4170
61	348	4149
62	353	4130
63	357	4111
64	362	4094
65	366	4074
66	370	4057
67	375	4039
68	379	4021
69	384	4007
70	388	3991
71	393	3973
72	397	3956
73	401	3937
74	405	3922
75	410	3906
76	414	3890
77	418	3875
78	423	3862
79	427	3849
80	432	3835
81	436	3822
82	440	3808
83	445	3796
84	449	3781
85	453	3767
86	457	3753
87	462	3740
88	466	3730
89	471	3718
90	475	3706
91	479	3693
92	484	3681
93	488	3668
94	492	3656
95	497	3645
96	501	3633
97	505	3621
98	509	3610
99	514	3598
100	518	3586
101	522	3575
102	527	3566
103	531	3555
104	535	3544
105	539	3534
106	544	3523
107	548	3513
108	552	3502
109	556	3493
110	561	3483
111	565	3475
112	569	3465
113	574	3455
114	578	3445
115	582	3435
116	586	3426
117	591	3416
118	595	3407
119	599	3397
120	604	3389
121	608	3381
122	612	3372
123	617	3363
124	621	3355
125	625	3346
126	630	3338
127	635	3336
128	640	3329
129	644	3321
130	649	3314
131	653	3307
132	658	3300
133	662	3293
134	666	3284
135	671	3276
136	675	3267
137	679	3259
138	683	3251
139	687	3243
140	692	3235
141	696	3227
142	701	3221
143	709	3233
144	715	3230
145	719	3221
146	723	3213
147	727	3205
148	731	3197
149	736	3189
150	740	3182
151	744	3174
152	748	3166
153	753	3159
154	757	3152
155	761	3145
156	766	3138
157	771	3134
158	776	3128
159	780	3121
160	784	3115
161	789	3108
162	793	3100
163	797	3093
164	801	3086
165	806	3079
166	810	3071
167	814	3065
168	819	3058
169	823	3051
170	827	3045
171	832	3038
172	836	3031
173	840	3024
174	844	3017
175	848	3009
176	853	3003
177	857	2996
178	862	2993
179	868	2990
180	872	2984
181	877	2978
182	881	2971
183	885	2965
184	890	2958
185	894	2952
186	898	2945
187	902	2939
188	907	2933
189	912	2928
190	917	2926
191	922	2921
192	927	2917
193	932	2913
194	937	2909
195	942	2902
196	946	2896
197	950	2891
198	955	2885
199	959	2878
200	964	2873
201	968	2867
202	972	2860
203	977	2854
204	981	2848
205	985	2842
206	990	2836
207	995	2833
208	999	2827
209	1004	2821
210	1008	2815
211	1012	2808
212	1016	2802
213	1021	2796
214	1025	2790
215	1029	2784
216	1034	2777
217	1038	2771
218	1042	2766
219	1047	2761
220	1051	2755
221	1056	2750
222	1060	2745
223	1065	2739
